---,Level,ExperienceNeededForNextLevel,ExperienceBaseGrantedPerLevel
1,"1","100.000000","10.000000"
2,"1","100.000000","10.000000"
3,"1","100.000000","10.000000"
4,"1","100.000000","10.000000"
5,"1","100.000000","10.000000"
6,"1","100.000000","10.000000"
7,"1","100.000000","10.000000"
8,"1","100.000000","10.000000"
9,"1","100.000000","10.000000"
10,"1","100.000000","10.000000"
11,"1","100.000000","10.000000"
12,"1","100.000000","10.000000"
13,"1","100.000000","10.000000"
14,"1","100.000000","10.000000"
15,"1","100.000000","10.000000"
16,"1","100.000000","10.000000"
17,"1","100.000000","10.000000"
18,"1","100.000000","10.000000"
19,"1","100.000000","10.000000"
20,"1","100.000000","10.000000"
21,"1","100.000000","10.000000"
22,"1","100.000000","10.000000"
23,"1","100.000000","10.000000"
24,"1","100.000000","10.000000"
25,"1","100.000000","10.000000"
26,"1","100.000000","10.000000"
27,"1","100.000000","10.000000"
28,"1","100.000000","10.000000"
29,"1","100.000000","10.000000"
30,"1","100.000000","10.000000"
31,"1","100.000000","10.000000"
32,"1","100.000000","10.000000"
33,"1","100.000000","10.000000"
34,"1","100.000000","10.000000"
35,"1","100.000000","10.000000"
36,"1","100.000000","10.000000"
37,"1","100.000000","10.000000"
38,"1","100.000000","10.000000"
39,"1","100.000000","10.000000"
40,"1","100.000000","10.000000"
41,"1","100.000000","10.000000"
42,"1","100.000000","10.000000"
43,"1","100.000000","10.000000"
44,"1","100.000000","10.000000"
45,"1","100.000000","10.000000"
46,"1","100.000000","10.000000"
47,"1","100.000000","10.000000"
48,"1","100.000000","10.000000"
49,"1","100.000000","10.000000"
50,"1","100.000000","10.000000"
